"weekday","desc","count"
"Friday","",2881
"Friday","ABORTION",2
"Friday","ADMINISTRATIVE CODE",2281
"Friday","ADMINISTRATIVE CODES",4
"Friday","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",100
"Friday","ALCOHOLIC BEVERAGE CONTROL LAW",282
"Friday","ANTICIPATORY OFFENSES",22
"Friday","ARSON",2248
"Friday","ASSAULT 3 & RELATED OFFENSES",102477
"Friday","BURGLAR'S TOOLS",598
"Friday","BURGLARY",42236
"Friday","CHILD ABANDONMENT/NON SUPPORT",75
"Friday","CRIMINAL MISCHIEF & RELATED OF",107268
"Friday","CRIMINAL TRESPASS",12968
"Friday","DANGEROUS DRUGS",72030
"Friday","DANGEROUS WEAPONS",27024
"Friday","DISORDERLY CONDUCT",182
"Friday","DISRUPTION OF A RELIGIOUS SERV",12
"Friday","ENDAN WELFARE INCOMP",39
"Friday","ESCAPE 3",36
"Friday","FELONY ASSAULT",35891
"Friday","FORGERY",11090
"Friday","FORTUNE TELLING",3
"Friday","FRAUDS",6674
"Friday","FRAUDULENT ACCOSTING",570
"Friday","GAMBLING",672
"Friday","GRAND LARCENY",95252
"Friday","GRAND LARCENY OF MOTOR VEHICLE",19128
"Friday","HARRASSMENT 2",126892
"Friday","HOMICIDE-NEGLIGENT-VEHICLE",18
"Friday","HOMICIDE-NEGLIGENT,UNCLASSIFIE",19
"Friday","INTOXICATED & IMPAIRED DRIVING",13863
"Friday","INTOXICATED/IMPAIRED DRIVING",7
"Friday","JOSTLING",65
"Friday","KIDNAPPING",4
"Friday","KIDNAPPING & RELATED OFFENSES",438
"Friday","LOITERING",7
"Friday","LOITERING FOR DRUG PURPOSES",9
"Friday","LOITERING/DEVIATE SEX",6
"Friday","LOITERING/GAMBLING (CARDS, DIC",61
"Friday","MISCELLANEOUS PENAL LAW",25674
"Friday","MURDER & NON-NEGL. MANSLAUGHTER",767
"Friday","NEW YORK CITY HEALTH CODE",12
"Friday","NYS LAWS-UNCLASSIFIED FELONY",931
"Friday","NYS LAWS-UNCLASSIFIED VIOLATION",8
"Friday","OFF. AGNST PUB ORD SENSBLTY &",52415
"Friday","OFFENSES AGAINST MARRIAGE UNCL",1
"Friday","OFFENSES AGAINST PUBLIC ADMINI",19927
"Friday","OFFENSES AGAINST PUBLIC SAFETY",151
"Friday","OFFENSES AGAINST THE PERSON",2654
"Friday","OFFENSES INVOLVING FRAUD",3624
"Friday","OFFENSES RELATED TO CHILDREN",510
"Friday","OTHER OFFENSES RELATED TO THEF",2379
"Friday","OTHER STATE LAWS",57
"Friday","OTHER STATE LAWS (NON PENAL LA",1066
"Friday","OTHER STATE LAWS (NON PENAL LAW)",3
"Friday","OTHER TRAFFIC INFRACTION",2
"Friday","PETIT LARCENY",176157
"Friday","PETIT LARCENY OF MOTOR VEHICLE",164
"Friday","POSSESSION OF STOLEN PROPERTY",5792
"Friday","PROSTITUTION & RELATED OFFENSES",338
"Friday","RAPE",2829
"Friday","ROBBERY",37108
"Friday","SEX CRIMES",12030
"Friday","THEFT-FRAUD",11454
"Friday","THEFT OF SERVICES",722
"Friday","UNAUTHORIZED USE OF A VEHICLE",3302
"Friday","UNLAWFUL POSS. WEAP. ON SCHOOL",10
"Friday","VEHICLE AND TRAFFIC LAWS",13029
"Monday","",2425
"Monday","ABORTION",2
"Monday","ADMINISTRATIVE CODE",2170
"Monday","ADMINISTRATIVE CODES",4
"Monday","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",82
"Monday","ALCOHOLIC BEVERAGE CONTROL LAW",32
"Monday","ANTICIPATORY OFFENSES",18
"Monday","ARSON",2509
"Monday","ASSAULT 3 & RELATED OFFENSES",97008
"Monday","BURGLAR'S TOOLS",342
"Monday","BURGLARY",35093
"Monday","CHILD ABANDONMENT/NON SUPPORT",52
"Monday","CRIMINAL MISCHIEF & RELATED OF",93195
"Monday","CRIMINAL TRESPASS",8774
"Monday","DANGEROUS DRUGS",32827
"Monday","DANGEROUS WEAPONS",13477
"Monday","DISORDERLY CONDUCT",99
"Monday","DISRUPTION OF A RELIGIOUS SERV",5
"Monday","ENDAN WELFARE INCOMP",42
"Monday","ESCAPE 3",16
"Monday","FELONY ASSAULT",34199
"Monday","FORGERY",7638
"Monday","FORTUNE TELLING",1
"Monday","FRAUDS",6276
"Monday","FRAUDULENT ACCOSTING",336
"Monday","GAMBLING",175
"Monday","GRAND LARCENY",85366
"Monday","GRAND LARCENY OF MOTOR VEHICLE",17763
"Monday","HARRASSMENT 2",125523
"Monday","HOMICIDE-NEGLIGENT-VEHICLE",16
"Monday","HOMICIDE-NEGLIGENT,UNCLASSIFIE",21
"Monday","INTOXICATED & IMPAIRED DRIVING",8248
"Monday","INTOXICATED/IMPAIRED DRIVING",9
"Monday","JOSTLING",30
"Monday","KIDNAPPING",8
"Monday","KIDNAPPING & RELATED OFFENSES",377
"Monday","KIDNAPPING AND RELATED OFFENSES",1
"Monday","LOITERING",5
"Monday","LOITERING/DEVIATE SEX",1
"Monday","LOITERING/GAMBLING (CARDS, DIC",14
"Monday","MISCELLANEOUS PENAL LAW",21543
"Monday","MURDER & NON-NEGL. MANSLAUGHTER",744
"Monday","NEW YORK CITY HEALTH CODE",5
"Monday","NYS LAWS-UNCLASSIFIED FELONY",997
"Monday","NYS LAWS-UNCLASSIFIED VIOLATION",8
"Monday","OFF. AGNST PUB ORD SENSBLTY &",56418
"Monday","OFFENSES AGAINST MARRIAGE UNCL",1
"Monday","OFFENSES AGAINST PUBLIC ADMINI",15972
"Monday","OFFENSES AGAINST PUBLIC SAFETY",122
"Monday","OFFENSES AGAINST THE PERSON",1982
"Monday","OFFENSES INVOLVING FRAUD",1957
"Monday","OFFENSES RELATED TO CHILDREN",23
"Monday","OTHER OFFENSES RELATED TO THEF",1815
"Monday","OTHER STATE LAWS",23
"Monday","OTHER STATE LAWS (NON PENAL LA",538
"Monday","OTHER TRAFFIC INFRACTION",2
"Monday","PETIT LARCENY",163509
"Monday","PETIT LARCENY OF MOTOR VEHICLE",157
"Monday","POSSESSION OF STOLEN PROPERTY",3807
"Monday","PROSTITUTION & RELATED OFFENSES",63
"Monday","RAPE",2506
"Monday","ROBBERY",36833
"Monday","SEX CRIMES",11104
"Monday","THEFT-FRAUD",12286
"Monday","THEFT OF SERVICES",536
"Monday","UNAUTHORIZED USE OF A VEHICLE",2737
"Monday","UNLAWFUL POSS. WEAP. ON SCHOOL",15
"Monday","VEHICLE AND TRAFFIC LAWS",11143
"Saturday","",2490
"Saturday","ADMINISTRATIVE CODE",1973
"Saturday","ADMINISTRATIVE CODES",7
"Saturday","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",78
"Saturday","ALCOHOLIC BEVERAGE CONTROL LAW",330
"Saturday","ANTICIPATORY OFFENSES",13
"Saturday","ARSON",2341
"Saturday","ASSAULT 3 & RELATED OFFENSES",114839
"Saturday","BURGLAR'S TOOLS",440
"Saturday","BURGLARY",28769
"Saturday","CHILD ABANDONMENT/NON SUPPORT",63
"Saturday","CRIMINAL MISCHIEF & RELATED OF",103461
"Saturday","CRIMINAL TRESPASS",10971
"Saturday","DANGEROUS DRUGS",60256
"Saturday","DANGEROUS WEAPONS",24389
"Saturday","DISORDERLY CONDUCT",190
"Saturday","DISRUPTION OF A RELIGIOUS SERV",5
"Saturday","ENDAN WELFARE INCOMP",24
"Saturday","ESCAPE 3",35
"Saturday","FELONY ASSAULT",44726
"Saturday","FORGERY",8660
"Saturday","FORTUNE TELLING",2
"Saturday","FRAUDS",4987
"Saturday","FRAUDULENT ACCOSTING",590
"Saturday","GAMBLING",536
"Saturday","GRAND LARCENY",82017
"Saturday","GRAND LARCENY OF MOTOR VEHICLE",17727
"Saturday","HARRASSMENT 2",114915
"Saturday","HOMICIDE-NEGLIGENT-VEHICLE",25
"Saturday","HOMICIDE-NEGLIGENT,UNCLASSIFIE",36
"Saturday","INTOXICATED & IMPAIRED DRIVING",24986
"Saturday","INTOXICATED/IMPAIRED DRIVING",12
"Saturday","JOSTLING",93
"Saturday","KIDNAPPING",5
"Saturday","KIDNAPPING & RELATED OFFENSES",416
"Saturday","LOITERING FOR DRUG PURPOSES",1
"Saturday","LOITERING/DEVIATE SEX",3
"Saturday","LOITERING/GAMBLING (CARDS, DIC",48
"Saturday","MISCELLANEOUS PENAL LAW",24418
"Saturday","MURDER & NON-NEGL. MANSLAUGHTER",995
"Saturday","NEW YORK CITY HEALTH CODE",14
"Saturday","NYS LAWS-UNCLASSIFIED FELONY",764
"Saturday","NYS LAWS-UNCLASSIFIED VIOLATION",10
"Saturday","OFF. AGNST PUB ORD SENSBLTY &",45754
"Saturday","OFFENSES AGAINST PUBLIC ADMINI",19698
"Saturday","OFFENSES AGAINST PUBLIC SAFETY",139
"Saturday","OFFENSES AGAINST THE PERSON",2723
"Saturday","OFFENSES INVOLVING FRAUD",3565
"Saturday","OFFENSES RELATED TO CHILDREN",357
"Saturday","OTHER OFFENSES RELATED TO THEF",2606
"Saturday","OTHER STATE LAWS",54
"Saturday","OTHER STATE LAWS (NON PENAL LA",665
"Saturday","OTHER STATE LAWS (NON PENAL LAW)",4
"Saturday","OTHER TRAFFIC INFRACTION",5
"Saturday","PETIT LARCENY",156699
"Saturday","PETIT LARCENY OF MOTOR VEHICLE",159
"Saturday","POSSESSION OF STOLEN PROPERTY",4432
"Saturday","PROSTITUTION & RELATED OFFENSES",225
"Saturday","RAPE",3161
"Saturday","ROBBERY",35173
"Saturday","SEX CRIMES",10682
"Saturday","THEFT-FRAUD",7242
"Saturday","THEFT OF SERVICES",441
"Saturday","UNAUTHORIZED USE OF A VEHICLE",2853
"Saturday","UNDER THE INFLUENCE OF DRUGS",2
"Saturday","UNLAWFUL POSS. WEAP. ON SCHOOL",4
"Saturday","VEHICLE AND TRAFFIC LAWS",12116
"Sunday","",2146
"Sunday","ABORTION",2
"Sunday","ADMINISTRATIVE CODE",1607
"Sunday","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",60
"Sunday","ALCOHOLIC BEVERAGE CONTROL LAW",194
"Sunday","ANTICIPATORY OFFENSES",7
"Sunday","ARSON",2814
"Sunday","ASSAULT 3 & RELATED OFFENSES",119255
"Sunday","BURGLAR'S TOOLS",289
"Sunday","BURGLARY",23503
"Sunday","CHILD ABANDONMENT/NON SUPPORT",54
"Sunday","CRIMINAL MISCHIEF & RELATED OF",94815
"Sunday","CRIMINAL TRESPASS",7952
"Sunday","DANGEROUS DRUGS",32671
"Sunday","DANGEROUS WEAPONS",15511
"Sunday","DISORDERLY CONDUCT",147
"Sunday","DISRUPTION OF A RELIGIOUS SERV",18
"Sunday","ENDAN WELFARE INCOMP",30
"Sunday","ESCAPE 3",30
"Sunday","FELONY ASSAULT",46191
"Sunday","FELONY SEX CRIMES",2
"Sunday","FORGERY",5833
"Sunday","FORTUNE TELLING",1
"Sunday","FRAUDS",3915
"Sunday","FRAUDULENT ACCOSTING",355
"Sunday","GAMBLING",293
"Sunday","GRAND LARCENY",70170
"Sunday","GRAND LARCENY OF MOTOR VEHICLE",16864
"Sunday","HARRASSMENT 2",115538
"Sunday","HOMICIDE-NEGLIGENT-VEHICLE",18
"Sunday","HOMICIDE-NEGLIGENT,UNCLASSIFIE",28
"Sunday","INTOXICATED & IMPAIRED DRIVING",22334
"Sunday","INTOXICATED/IMPAIRED DRIVING",13
"Sunday","JOSTLING",50
"Sunday","KIDNAPPING",2
"Sunday","KIDNAPPING & RELATED OFFENSES",430
"Sunday","LOITERING",3
"Sunday","LOITERING FOR DRUG PURPOSES",2
"Sunday","LOITERING/GAMBLING (CARDS, DIC",25
"Sunday","MISCELLANEOUS PENAL LAW",22229
"Sunday","MURDER & NON-NEGL. MANSLAUGHTER",1018
"Sunday","NEW YORK CITY HEALTH CODE",13
"Sunday","NYS LAWS-UNCLASSIFIED FELONY",638
"Sunday","NYS LAWS-UNCLASSIFIED VIOLATION",9
"Sunday","OFF. AGNST PUB ORD SENSBLTY &",46625
"Sunday","OFFENSES AGAINST PUBLIC ADMINI",17717
"Sunday","OFFENSES AGAINST PUBLIC SAFETY",92
"Sunday","OFFENSES AGAINST THE PERSON",2357
"Sunday","OFFENSES INVOLVING FRAUD",2449
"Sunday","OFFENSES RELATED TO CHILDREN",120
"Sunday","OTHER OFFENSES RELATED TO THEF",2393
"Sunday","OTHER STATE LAWS",27
"Sunday","OTHER STATE LAWS (NON PENAL LA",365
"Sunday","OTHER STATE LAWS (NON PENAL LAW)",1
"Sunday","OTHER TRAFFIC INFRACTION",2
"Sunday","PETIT LARCENY",138770
"Sunday","PETIT LARCENY OF MOTOR VEHICLE",179
"Sunday","POSSESSION OF STOLEN PROPERTY",2905
"Sunday","PROSTITUTION & RELATED OFFENSES",88
"Sunday","RAPE",3137
"Sunday","ROBBERY",34306
"Sunday","SEX CRIMES",10348
"Sunday","THEFT-FRAUD",5752
"Sunday","THEFT OF SERVICES",217
"Sunday","UNAUTHORIZED USE OF A VEHICLE",2532
"Sunday","UNLAWFUL POSS. WEAP. ON SCHOOL",1
"Sunday","VEHICLE AND TRAFFIC LAWS",10839
"Thursday","",2999
"Thursday","ADMINISTRATIVE CODE",2290
"Thursday","ADMINISTRATIVE CODES",3
"Thursday","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",92
"Thursday","ALCOHOLIC BEVERAGE CONTROL LAW",144
"Thursday","ANTICIPATORY OFFENSES",17
"Thursday","ARSON",2199
"Thursday","ASSAULT 3 & RELATED OFFENSES",94947
"Thursday","BURGLAR'S TOOLS",678
"Thursday","BURGLARY",35447
"Thursday","CHILD ABANDONMENT/NON SUPPORT",49
"Thursday","CRIMINAL MISCHIEF & RELATED OF",95894
"Thursday","CRIMINAL TRESPASS",12736
"Thursday","DANGEROUS DRUGS",72890
"Thursday","DANGEROUS WEAPONS",25715
"Thursday","DISORDERLY CONDUCT",115
"Thursday","DISRUPTION OF A RELIGIOUS SERV",4
"Thursday","ENDAN WELFARE INCOMP",43
"Thursday","ESCAPE 3",30
"Thursday","FELONY ASSAULT",32950
"Thursday","FELONY SEX CRIMES",2
"Thursday","FORGERY",11988
"Thursday","FORTUNE TELLING",2
"Thursday","FRAUDS",6584
"Thursday","FRAUDULENT ACCOSTING",482
"Thursday","GAMBLING",485
"Thursday","GRAND LARCENY",85367
"Thursday","GRAND LARCENY OF MOTOR VEHICLE",17328
"Thursday","HARRASSMENT 2",124351
"Thursday","HOMICIDE-NEGLIGENT-VEHICLE",9
"Thursday","HOMICIDE-NEGLIGENT,UNCLASSIFIE",15
"Thursday","INTOXICATED & IMPAIRED DRIVING",9284
"Thursday","INTOXICATED/IMPAIRED DRIVING",6
"Thursday","JOSTLING",78
"Thursday","KIDNAPPING",8
"Thursday","KIDNAPPING & RELATED OFFENSES",378
"Thursday","KIDNAPPING AND RELATED OFFENSES",1
"Thursday","LOITERING",2
"Thursday","LOITERING FOR DRUG PURPOSES",4
"Thursday","LOITERING/DEVIATE SEX",1
"Thursday","LOITERING/GAMBLING (CARDS, DIC",38
"Thursday","MISCELLANEOUS PENAL LAW",25440
"Thursday","MURDER & NON-NEGL. MANSLAUGHTER",662
"Thursday","NEW YORK CITY HEALTH CODE",9
"Thursday","NYS LAWS-UNCLASSIFIED FELONY",983
"Thursday","NYS LAWS-UNCLASSIFIED VIOLATION",5
"Thursday","OFF. AGNST PUB ORD SENSBLTY &",52406
"Thursday","OFFENSES AGAINST PUBLIC ADMINI",19134
"Thursday","OFFENSES AGAINST PUBLIC SAFETY",177
"Thursday","OFFENSES AGAINST THE PERSON",2445
"Thursday","OFFENSES INVOLVING FRAUD",3390
"Thursday","OFFENSES RELATED TO CHILDREN",274
"Thursday","OTHER OFFENSES RELATED TO THEF",2144
"Thursday","OTHER STATE LAWS",43
"Thursday","OTHER STATE LAWS (NON PENAL LA",1288
"Thursday","OTHER TRAFFIC INFRACTION",1
"Thursday","PETIT LARCENY",165497
"Thursday","PETIT LARCENY OF MOTOR VEHICLE",160
"Thursday","POSSESSION OF STOLEN PROPERTY",6630
"Thursday","PROSTITUTION & RELATED OFFENSES",217
"Thursday","RAPE",2430
"Thursday","ROBBERY",34828
"Thursday","SEX CRIMES",11703
"Thursday","THEFT-FRAUD",11073
"Thursday","THEFT OF SERVICES",786
"Thursday","UNAUTHORIZED USE OF A VEHICLE",2972
"Thursday","UNLAWFUL POSS. WEAP. ON SCHOOL",17
"Thursday","VEHICLE AND TRAFFIC LAWS",12442
"Tuesday","",2765
"Tuesday","ADMINISTRATIVE CODE",2342
"Tuesday","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",93
"Tuesday","ALCOHOLIC BEVERAGE CONTROL LAW",91
"Tuesday","ANTICIPATORY OFFENSES",19
"Tuesday","ARSON",2308
"Tuesday","ASSAULT 3 & RELATED OFFENSES",93803
"Tuesday","BURGLAR'S TOOLS",547
"Tuesday","BURGLARY",34261
"Tuesday","CHILD ABANDONMENT/NON SUPPORT",82
"Tuesday","CRIMINAL MISCHIEF & RELATED OF",94714
"Tuesday","CRIMINAL TRESPASS",12492
"Tuesday","DANGEROUS DRUGS",68625
"Tuesday","DANGEROUS WEAPONS",23051
"Tuesday","DISORDERLY CONDUCT",123
"Tuesday","DISRUPTION OF A RELIGIOUS SERV",2
"Tuesday","ENDAN WELFARE INCOMP",29
"Tuesday","ESCAPE 3",30
"Tuesday","FELONY ASSAULT",33165
"Tuesday","FORGERY",11690
"Tuesday","FORTUNE TELLING",1
"Tuesday","FRAUDS",6598
"Tuesday","FRAUDULENT ACCOSTING",448
"Tuesday","GAMBLING",325
"Tuesday","GRAND LARCENY",83928
"Tuesday","GRAND LARCENY OF MOTOR VEHICLE",17115
"Tuesday","HARRASSMENT 2",125497
"Tuesday","HOMICIDE-NEGLIGENT-VEHICLE",7
"Tuesday","HOMICIDE-NEGLIGENT,UNCLASSIFIE",15
"Tuesday","INTOXICATED & IMPAIRED DRIVING",6277
"Tuesday","INTOXICATED/IMPAIRED DRIVING",7
"Tuesday","JOSTLING",48
"Tuesday","KIDNAPPING",6
"Tuesday","KIDNAPPING & RELATED OFFENSES",333
"Tuesday","KIDNAPPING AND RELATED OFFENSES",1
"Tuesday","LOITERING",4
"Tuesday","LOITERING FOR DRUG PURPOSES",3
"Tuesday","LOITERING/DEVIATE SEX",2
"Tuesday","LOITERING/GAMBLING (CARDS, DIC",14
"Tuesday","MISCELLANEOUS PENAL LAW",24520
"Tuesday","MURDER & NON-NEGL. MANSLAUGHTER",693
"Tuesday","NEW YORK CITY HEALTH CODE",12
"Tuesday","NYS LAWS-UNCLASSIFIED FELONY",1013
"Tuesday","NYS LAWS-UNCLASSIFIED VIOLATION",7
"Tuesday","OFF. AGNST PUB ORD SENSBLTY &",54348
"Tuesday","OFFENSES AGAINST MARRIAGE UNCL",1
"Tuesday","OFFENSES AGAINST PUBLIC ADMINI",18275
"Tuesday","OFFENSES AGAINST PUBLIC SAFETY",131
"Tuesday","OFFENSES AGAINST THE PERSON",2288
"Tuesday","OFFENSES INVOLVING FRAUD",3397
"Tuesday","OFFENSES RELATED TO CHILDREN",146
"Tuesday","OTHER OFFENSES RELATED TO THEF",1913
"Tuesday","OTHER STATE LAWS",40
"Tuesday","OTHER STATE LAWS (NON PENAL LA",1261
"Tuesday","OTHER STATE LAWS (NON PENAL LAW)",1
"Tuesday","OTHER TRAFFIC INFRACTION",1
"Tuesday","PETIT LARCENY",166480
"Tuesday","PETIT LARCENY OF MOTOR VEHICLE",166
"Tuesday","POSSESSION OF STOLEN PROPERTY",5873
"Tuesday","PROSTITUTION & RELATED OFFENSES",93
"Tuesday","RAPE",2449
"Tuesday","ROBBERY",35616
"Tuesday","SEX CRIMES",11479
"Tuesday","THEFT-FRAUD",11325
"Tuesday","THEFT OF SERVICES",749
"Tuesday","UNAUTHORIZED USE OF A VEHICLE",2716
"Tuesday","UNLAWFUL POSS. WEAP. ON SCHOOL",8
"Tuesday","VEHICLE AND TRAFFIC LAWS",11908
"Wednesday","",3049
"Wednesday","ABORTION",1
"Wednesday","ADMINISTRATIVE CODE",2387
"Wednesday","ADMINISTRATIVE CODES",1
"Wednesday","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",79
"Wednesday","ALCOHOLIC BEVERAGE CONTROL LAW",119
"Wednesday","ANTICIPATORY OFFENSES",17
"Wednesday","ARSON",2156
"Wednesday","ASSAULT 3 & RELATED OFFENSES",95211
"Wednesday","BURGLAR'S TOOLS",658
"Wednesday","BURGLARY",36184
"Wednesday","CHILD ABANDONMENT/NON SUPPORT",57
"Wednesday","CRIMINAL MISCHIEF & RELATED OF",95860
"Wednesday","CRIMINAL TRESPASS",13362
"Wednesday","DANGEROUS DRUGS",76275
"Wednesday","DANGEROUS WEAPONS",26154
"Wednesday","DISORDERLY CONDUCT",148
"Wednesday","DISRUPTION OF A RELIGIOUS SERV",6
"Wednesday","ENDAN WELFARE INCOMP",36
"Wednesday","ESCAPE 3",24
"Wednesday","FELONY ASSAULT",33193
"Wednesday","FORGERY",12384
"Wednesday","FORTUNE TELLING",1
"Wednesday","FRAUDS",6587
"Wednesday","FRAUDULENT ACCOSTING",581
"Wednesday","GAMBLING",429
"Wednesday","GRAND LARCENY",85346
"Wednesday","GRAND LARCENY OF MOTOR VEHICLE",17182
"Wednesday","HARRASSMENT 2",126533
"Wednesday","HOMICIDE-NEGLIGENT-VEHICLE",10
"Wednesday","HOMICIDE-NEGLIGENT,UNCLASSIFIE",22
"Wednesday","INTOXICATED & IMPAIRED DRIVING",8020
"Wednesday","INTOXICATED/IMPAIRED DRIVING",7
"Wednesday","JOSTLING",69
"Wednesday","KIDNAPPING",6
"Wednesday","KIDNAPPING & RELATED OFFENSES",386
"Wednesday","LOITERING",2
"Wednesday","LOITERING FOR DRUG PURPOSES",4
"Wednesday","LOITERING/DEVIATE SEX",3
"Wednesday","LOITERING/GAMBLING (CARDS, DIC",42
"Wednesday","MISCELLANEOUS PENAL LAW",25556
"Wednesday","MURDER & NON-NEGL. MANSLAUGHTER",697
"Wednesday","NEW YORK CITY HEALTH CODE",23
"Wednesday","NYS LAWS-UNCLASSIFIED FELONY",960
"Wednesday","NYS LAWS-UNCLASSIFIED VIOLATION",7
"Wednesday","OFF. AGNST PUB ORD SENSBLTY &",53946
"Wednesday","OFFENSES AGAINST MARRIAGE UNCL",1
"Wednesday","OFFENSES AGAINST PUBLIC ADMINI",19474
"Wednesday","OFFENSES AGAINST PUBLIC SAFETY",184
"Wednesday","OFFENSES AGAINST THE PERSON",2594
"Wednesday","OFFENSES INVOLVING FRAUD",3565
"Wednesday","OFFENSES RELATED TO CHILDREN",223
"Wednesday","OTHER OFFENSES RELATED TO THEF",1984
"Wednesday","OTHER STATE LAWS",34
"Wednesday","OTHER STATE LAWS (NON PENAL LA",1336
"Wednesday","OTHER STATE LAWS (NON PENAL LAW)",2
"Wednesday","OTHER TRAFFIC INFRACTION",2
"Wednesday","PETIT LARCENY",169382
"Wednesday","PETIT LARCENY OF MOTOR VEHICLE",161
"Wednesday","POSSESSION OF STOLEN PROPERTY",6382
"Wednesday","PROSTITUTION & RELATED OFFENSES",142
"Wednesday","RAPE",2371
"Wednesday","ROBBERY",35525
"Wednesday","SEX CRIMES",11585
"Wednesday","THEFT-FRAUD",11132
"Wednesday","THEFT OF SERVICES",826
"Wednesday","UNAUTHORIZED USE OF A VEHICLE",2954
"Wednesday","UNDER THE INFLUENCE OF DRUGS",1
"Wednesday","UNLAWFUL POSS. WEAP. ON SCHOOL",13
"Wednesday","VEHICLE AND TRAFFIC LAWS",12200
NA,NA,655
"Friday","all",1056550
"Monday","all",921025
"Saturday","all",985419
"Sunday","all",888301
"Thursday","all",992811
"Tuesday","all",977770
"Wednesday","all",1005853
NA,"all",655
